	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
8279	7054725	PAULS PAINT SHOP    	                    	5000 EMHOFF RD      	PAUL D LITTLE       	                    	RS 	04/08/1991	02/27/2019	03/31/2021
8280	7126593	PRESTIGE MOTORSPORTS	NY INC              	1250 STATE RT 5 WEST	GUILLERMO BURGOS    	                    	RS 	01/17/2020		12/31/2021
8281	7112600	REGAS AUTOS LLC     	                    	7376 WHEELER RD     	CURT A SAGER        	                    	RS 	10/02/2015	07/27/2017	07/31/2019
8282	7122806	STONES AUTOMOTIVE   	SERVICES LLC        	1250 STATE RT 5 WEST	TIMOTHY STONE       	                    	RS 	09/05/2017		08/31/2019
8283	4270209	SUN CHEVROLET INC   	                    	104 108 W GENESEE ST	JOSEPH CAPUTO       	                    	RS 	12/24/1979	09/19/2019	10/31/2021
8284	7109636	SUN SERVICE AND BODY	OF CHITTENANGO INC  	106-108 W GENESEE ST	PAUL TIRINATO       	                    	RSB	01/22/2010	12/11/2017	12/31/2019
8285	4270077	VERNES AUTO SERVICE 	& SALES             	RT 5 RD 1 PO BOX 448	KENNETH A VERNE SR  	                    	RS 	09/21/1981	07/10/2019	07/31/2021
8286	7110590	WICKED MOTORSPORTS  	REPAIR & FABRICATION	POBX61 1292 ST RTE  	WILLIAM L SHANTEL JR	                    	RS 	07/08/2010	07/01/2014	06/30/2016
8287	7109747	ACKLEY AUTO REPAIR  	LLC                 	956 MIDDLE LAKE ROAD	PAUL C ACKLEY       	                    	RS 	02/10/2010	11/19/2019	01/31/2022
8288	7126883	COVERT DIESEL       	PERFORMANCE         	1284 MIDDLE LAKE RD 	JASON W COVERT      	                    	RS 	04/22/2020		03/31/2022
8289	7121916	QUAKER BASIN AUTO   	REPAIR              	689 WOOD ROAD       	JACOB CIRBUS        	                    	RS 	01/12/2017	11/05/2018	12/31/2020
8290	7073720	SWINDS GARAGE       	                    	POB 105 782 UTICA ST	FREDERICK D SWIND   	                    	RS 	03/06/1996	01/21/2020	02/28/2022
8291	7087108	USA BODY INC        	                    	994 MIDDLE LAKE RD  	BRUCE MACRAE        	                    	RS 	10/17/2005	03/06/2020	03/31/2022
8292	7125431	POND SIDE REPAIR INC	                    	8450 S HAMILTON RD  	ERICK LAW           	                    	RS 	04/17/2019		03/31/2021
8293	7121164	TIRE REPAIR SALES & 	SERVICE INC         	PB 246 2766 EVANS RD	GARTH LIDDLE        	                    	RS 	06/24/2016	03/24/2020	05/31/2022
8294	7119990	WOODYS BODY SHOP    	                    	POB5 2847 EAGLVLL RD	ROY L WOODCOCK      	                    	RSB	09/16/2015	08/01/2019	08/31/2021
8295	7071969	OLD STATE AUTO      	REPAIR              	BX321 OLD STATE RD  	ALAN S DAILEY       	                    	RS 	09/14/1995	06/14/2017	08/31/2019
8296	7075160	DAMIANS AUTOMOTIVE  	                    	2797 RT 12B         	CROYLE ENTERPRISES  	INC                 	RS 	07/10/1996	06/15/2020	06/30/2022
8297	7032503	DEN KELLY CHEVROLET 	BUICK GMC INC       	2495 RTE 12B        	DENNIS F KELLY      	                    	RS 	12/05/1985	10/03/2019	11/30/2021
8298	4330501	DS AUTO REPAIR INC  	                    	RT 12B&AIRPORT PBX51	DAVID DOW           	                    	RS 	09/02/1981	06/14/2019	07/31/2021
8299	7079425	EG COLLISION        	                    	1094 RIVER RD       	EUGENE GONZALEZ     	                    	RSB	09/04/1997	08/09/2019	08/31/2021
8300	7126516	FRIENDLY FORD OF    	HAMILTON INC        	2536 ROUTE 12B      	MICHAEL UVANNI      	                    	RS 	12/30/2019		11/30/2021
8301	4270225	HAMILTON AUTO CLINIC	                    	56 MONTGOMERY ST    	EDWARD I REUTER     	                    	RS 	10/23/1980	09/24/2020	09/30/2022
8302	7114055	HAMILTON COLLISION  	SERVICES            	2797 STATE ROUTE 12B	KARA CROYLE         	                    	RS 	05/14/2012	04/06/2020	04/30/2022
8303	4270167	NILLES FORD INC     	                    	2536 ROUTE 12B      	FRANCIS A NILLES    	                    	RS 	09/26/1979	10/03/2019	10/31/2021
8304	7126704	UNIVERSAL AUTO      	REPAIR              	45 UTICA STREET     	WILLIAM M SCHAFFER  	                    	RS 	02/12/2020		01/31/2022
8305	7122009	UNIVERSITY CHRYSLER 	DODGE JEEP RAM      	6512 WES RD         	VICTORY VENTURES    	HAMILTON INC        	RS 	02/10/2017	12/12/2018	01/31/2021
8306	7105390	EXCELL MOTOR SPORTS 	LLC                 	2912 RTE 12         	EDWARD J CARHART    	                    	RS 	01/18/2008	10/11/2019	12/31/2021
8307	7103170	DAVES BODY SHOP     	LLC                 	1134 CHESTNUT RDG RD	DAVID P VOSS        	                    	RSB	12/28/2006	09/28/2020	11/30/2022
8308	4270084	SEVEN OS INC        	                    	7917 DEVAUL RD      	HAROLD A OOT        	                    	RS 	07/06/1981	06/10/2019	07/31/2021
8309	7098353	SEVEN OS RECREATIONL	SALES & SERVICE     	7917A DEVAUL RD     	SEVEN OS INC        	                    	RS 	10/13/2004	08/06/2020	09/30/2022
8310	7087419	DIEHLS AUTOMOTIVE   	                    	7348 VALLEY RD      	KEITH A DIEHL ETAL  	                    	RS 	06/06/2000	05/07/2014	05/31/2016
8311	7094843	PISIAKS GARAGE      	                    	3449 LOVEJOY ROAD   	JOSEPH PISIAK       	                    	RS 	05/15/2003	04/03/2019	04/30/2021
8312	4270224	ROYS GARAGE         	                    	3415 BISHOP RD      	ROY J KIRLEY ET EA  	                    	RS 	07/27/1987	05/31/2019	06/30/2021
8313	7118265	A&R TIRE SERVICE    	CENTER LLC          	POB 291 33 W MAIN ST	AARON DOOLEY        	                    	RS 	08/13/2014	06/12/2020	07/31/2022
8314	7081095	DAVIS WILLOWBROOK   	SERVICE & REPAIR    	RD 1 BX 40 STNBRG RD	CHRISTOPHER T DAVIS 	                    	RS 	04/13/1998	03/31/2020	03/31/2022
8315	7120198	JANCZUK REPAIR      	                    	4353 SOUTH BUTLER RD	TIMOTHY A JANCZUK   	                    	RS 	11/04/2015	10/24/2019	10/31/2021
8316	7097368	MORRISVILLE MOTORS  	LLC                 	34 MAIN ST          	RICHARD S POPE      	                    	RS 	05/27/2004	03/27/2014	04/30/2016
8317	7078810	SHEPARDS AUTO &     	TOWING INC          	PB 264 33 W MAIN ST 	MARK L SHEPARD      	                    	RS 	08/23/1999	06/04/2013	07/31/2015
8318	7126441	BISHTONS DIESEL     	TRUCK AND AUTO LLC  	5266 N MAIN ST      	ADAM BISHTON        	                    	RS 	12/10/2019		11/30/2021
8319	7042587	D&D REPAIR          	                    	5725 STREETER RD    	DAVID L HAFLETT     	                    	RS 	03/10/1988	02/26/2020	02/28/2022
8320	7070380	HILLSIDE MOTORCYCLE&	MACHINE             	5225 S MAIN ST      	SCOTT PALMER        	                    	RS 	04/20/1995	03/01/2019	03/31/2021
8321	7118861	KIEHNS COLLISION &  	RESTORATION         	4826 BROWN ROAD     	ANDREW J KIEHN      	                    	RS 	12/18/2014	01/24/2019	11/30/2020
8322	7116542	TRI KOLOR AUTO BODY 	                    	6191 VALLEY MILLS RD	DOUGLAS H MOOT      	                    	RS 	09/05/2013	06/14/2019	08/31/2021
8323	4270051	DONS AUTO BARN INC  	                    	2462 RT 13          	DONALD L BURDIN SR  	                    	RSB	08/20/1981	07/26/2019	07/31/2021
8324	7101921	CITY MOTORS         	                    	179 MADISON ST      	LAWRENCE F LIESS JR 	ETAL                	RS 	05/26/2006	05/20/2020	04/30/2022
8325	7107309	COLE MUFFLER        	                    	241 GENESEE STREET  	MAVIS TIRE NY LLC   	                    	RS 	11/25/2008	10/20/2020	10/31/2022
8326	7082968	DANS BODY SHOP      	                    	110 CEDAR ST        	DANNY D MEYERS      	                    	RSB	11/16/1998	09/22/2020	10/31/2022
8327	7100512	DAVE KINNEYS AUTO   	BODY                	245 GENESEE ST      	JAMES C KINNEY      	                    	RSB	10/12/2005	08/08/2019	09/30/2021
8328	7099434	DUTTON SALE&SERVICE 	                    	388 GENESEE ST      	RICHARD T DUTTON JR 	                    	RS 	07/19/2005	06/19/2013	06/30/2015
8329	7107452	FINISHLINE AUTOS LLC	                    	200 LENOX AVENUE    	DAVID M AXENFELD    	                    	RS 	12/15/2008	11/28/2018	11/30/2020
8330	7079342	HANIFIN TIRE SERVICE	CENTER INC          	105 GENESEE ST      	RICHARD M WOODCOCK  	                    	RS 	09/09/1997	06/20/2019	08/31/2021
8331	7122160	JONS ONEIDA SERVICE 	LLC                 	107 LENOX AVE       	JON M MUSGROVE      	                    	RS 	04/06/2017	03/26/2019	03/31/2021
8332	4270227	KINNEY KAR KARE     	SERVICE CENTER LLC  	4848 ST RT 365      	MICHAEL KINNEY      	                    	RS 	11/06/1980	09/18/2020	10/31/2022
8333	4270122	LATTERI CYCLES      	                    	PBX162 446 N LAKE ST	CHARLES I TOOKE     	                    	RS 	08/16/1979	07/31/2019	07/31/2021
8334	7107368	LENOX AUTO CENTER   	INC                 	314 EAST WALNUT ST  	HESHAM F MARJI      	                    	RS 	12/03/2008	10/25/2016	11/30/2018
8335	7100809	MADISON ONEIDA BOCES	CENTRAL BUS MAINTNCE	1136 FREEDOM DR     	CHARLES D CANADA    	                    	RS 	12/02/2005	10/09/2019	11/30/2021
8336	7041122	MONRO MUFFLER BRAKE 	                    	123 GENESEE ST      	MONRO INC           	                    	RS 	10/28/1987	09/25/2019	09/30/2021
8337	7104453	NATIONAL LUBE       	COMPANY             	139 GENESEE ST      	EDWARD N SPARKS III 	                    	RS 	07/20/2007	05/21/2019	06/30/2021
8338	7097428	NYE BUICK GMC       	                    	1421 GENESEE ST     	NYE AUTOMOTIVE GROUP	INC                 	RS 	06/02/2004	04/24/2020	05/31/2022
8339	7125138	NYE CHEVROLET       	                    	116 BROAD STREET    	NYE AUTOMOTIVE GROUP	INC                 	RS 	02/06/2019		01/31/2021
8340	7123544	NYE CHRYSLER DODGE  	JEEP RAM            	1553 UPPER LENOX AVE	NYE AUTOMOTIVE GROUP	INC                 	RS 	01/31/2018	11/15/2019	12/31/2021
8341	4270056	NYE FORD            	                    	1479 GENESEE ST     	NYE AUTOMOTIVE GROUP	INC                 	RS 	06/23/1981	06/13/2019	07/31/2021
8342	7100793	NYE TOYOTA SCION    	                    	1441 GENESEE ST     	NYE AUTOMOTIVE GROUP	INC                 	RS 	11/30/2005	09/19/2019	10/31/2021
8343	7123692	ONEIDA RUST CHECK   	AND REPAIR          	201 E GNESEE ST BL B	GEORGE B GREENE JR  	                    	RS 	03/12/2018	07/23/2020	02/28/2022
8344	7085541	ONEIDA SERVICE      	CENTER LLC          	107 LENOX AVENUE    	CHAD M WARD         	                    	RS 	08/31/1999	06/24/2015	07/31/2017
8345	4270113	ONEIDA SUZUKI INC   	                    	434 LENOX AV        	FURTTUNATO          	CIANFROCCO          	RS 	08/20/1981	06/25/2019	07/31/2021
8346	4270107	RALPHS COLLISION INC	                    	1673 GENESEE ST     	RALPH E HOLMES      	                    	RSB	06/25/1981	06/06/2019	07/31/2021
8347	7033784	ROBERT PAUL INC     	                    	214 SCONONDOA ST    	JOHN H PAUL         	                    	RS 	03/21/1986	02/16/2016	02/28/2018
8348	7123906	ROODS GENERAL       	MAINTENANCE & REPAIR	201 GENESEE ST BLD B	VERNON C ROOD       	                    	RS 	05/18/2018		04/30/2020
8349	4270103	SILVER CITY TIRE INC	                    	201 GENESEE ST      	DAVID O LABRECQUE   	                    	RS 	07/07/1981	06/27/2019	07/31/2021
8350	7067293	SROKAS SERVICE      	CENTER LLC          	142 LENOX AVE       	EDWARD SROKA        	                    	RS 	06/17/1994	04/24/2020	05/31/2022
8351	7091692	STEVES KWIK CHANGE  	                    	217 BROAD ST        	MATTHEW J CHEVIER   	                    	RS 	02/14/2002	01/14/2020	01/31/2022
8352	7115798	SUMMIT CHRYSLER     	DODGE JEEP RAM      	1553 UPPER LENOX AVE	TDK OPERATING COMPNY	OF ONEIDA LLC       	RS 	05/13/2013	03/06/2017	03/31/2019
8353	7126229	WC DIESEL AND AUTO  	REPAIR              	201 GENESEE ST BDG B	CHRISTOPHER WATKINS 	                    	RS 	10/09/2019		09/30/2021
8354	4270003	WILBER DUCK         	CHEVROLET INC       	116 BROAD ST        	CRAIG H WILBER      	                    	RS 	07/07/1981	05/16/2017	07/31/2019
8355	7109886	DENNIS M PERRY      	                    	2479 DUGWAY ROAD    	DENNIS M PERRY      	                    	RS 	03/08/2010	02/14/2020	02/28/2022
8356	7037990	POZZIES AUTO        	REFINISHING         	RT46 MIDDLE RD BX29 	THOMAS J POSLOSKI   	                    	RSB	11/09/1992	10/29/2018	10/31/2020
8357	7080168	LIBERTY AUTO LLC    	                    	PB296 2333 GENSEE ST	THOMAS L MARSHALL JR	                    	RS 	01/12/1998	01/03/2020	12/31/2021
8358	7043080	HERBOLDT TRUCKING   	                    	POB 126 PARSONAGE ST	AUGUST HERBOLDT JR  	                    	RS 	04/07/1988	03/12/2020	03/31/2022
8359	7045572	C&WS AUTO REPAIR    	                    	2509 ROUTE 8        	CHARLIE TANNEY ETAL 	                    	RS 	10/28/1988	10/01/2020	09/30/2022
8360	7097591	KACZS               	                    	770 CRANES HOLLOW RD	DAVID KACZKOWSKI    	                    	RS 	06/29/2004	06/03/2020	05/31/2022
8361	5280080	BARRYS AUTO CENTER  	INC                 	POB 309 4579 S MAIN 	ANDREW M RIEXINGER  	                    	RS 	10/15/1981	09/30/2019	10/31/2021
8362	7084756	BIG TIME SERVICE INC	                    	7978 RIDGE RD W     	LEE E HICKS         	                    	RS 	05/14/1999	04/02/2019	04/30/2021
8363	7125870	BOB JOHNSON SUBARU  	LLC                 	6331 BRCKPRT SPNCRPT	JEFFREY LASH        	                    	RS 	07/19/2019		06/30/2021
8364	5280322	BRADS NORTHSIDE     	SERVICE INC         	165 PARK AVE        	B BRADLEY ALEXANDER 	                    	RS 	11/21/1980	09/21/2020	10/31/2022
8365	7115865	CMJ CUSTOMS         	                    	9329 WEST RIDGE RD  	AUGUST M RUSCIO     	                    	RS 	05/02/2013	04/18/2019	04/30/2021
8366	5280486	COLLEGE SERVICE     	CENTER INC          	8388 RIDGE RD WEST  	SALVATORE MARASCIO  	                    	RS 	10/22/1980	08/28/2020	10/31/2022
8367	7095664	DUNN TIRE           	                    	4882 LAKE RD SOUTH  	DUNN TIRE LLC       	                    	RS 	09/15/2003	08/23/2019	08/31/2021
8368	7067449	FIRESTONE COMPLETE  	AUTO CARE           	6480 BROCK SPNCRPRT 	BFS RETAIL &        	COMMERCIAL OPRTN LLC	RS 	07/05/1994	04/24/2020	06/30/2022
8369	7121220	FOUR SEASONS        	COLLISION LLC       	1010 TRANSIT WAY    	KRISTOPHER OAKS     	                    	RS 	07/12/2016	07/20/2020	06/30/2022
8370	7098942	GREGS AUTO REPAIR   	                    	7498 W RIDGE RD     	ALEKSANDR FEDORISHIN	                    	RSB	02/02/2005	12/14/2018	01/31/2021
8371	7076358	G WOHLERS AUTO      	SALES AND SERVICE   	5371 LAKE RD SO     	GEORGE G WOHLERS    	                    	RS 	11/10/2008	11/30/2018	11/30/2020
8372	7066978	HILTON TRUCK PARTS  	                    	7936 RIDGE RD W     	JOHN J OKEEFE       	                    	RS 	06/08/1994	04/24/2020	05/31/2022
8373	7112471	HOLLAND SALES AND   	SERVICE INC         	9329 RIDGE ROAD     	JOHN N HOLLAND      	                    	RS 	07/19/2011	05/17/2013	06/30/2015
8374	7122316	JT AUTO             	                    	2424 COLBY ST       	JOHN TANNIS         	                    	RS 	05/30/2017	04/23/2019	04/30/2021
8375	7062111	LAKESIDE AUTOMOTIVE 	INC                 	4578 LAKE RD S      	ANTHONY GIRARDI     	                    	RS 	03/25/1993	03/20/2019	02/28/2021
8376	5280058	MONRO AUTO SERVICE  	AND TIRE CENTERS    	4671 S LAKE RD      	MONRO INC           	                    	RS 	10/29/1980	10/30/2020	10/31/2022
8377	7115847	MR TIRE             	                    	4900 LAKE ROAD      	MONRO INC           	                    	RS 	04/30/2013	03/29/2019	03/31/2021
8378	7125867	NB AUTOMOTIVE &     	RESTORATION LLC     	2400 COLBY STREET   	BLAZE BROSKIN       	                    	RS 	07/19/2019		06/30/2021
8379	7089182	NICHOLS SERVICE     	                    	354 STATE ST        	WALLER INC          	                    	RS 	02/02/2001	12/12/2018	01/31/2021
8380	7090368	SPURR CHEVROLET     	BUICK PONTIAC GMC   	6325 BROCKPORT-SPNCR	SPURR CHEVROLET INC 	                    	RS 	07/03/2001	06/19/2019	06/30/2021
8381	7125869	SPURR CHEVROLET     	BUICK GMC LLC       	6325 BRCKPRT SPNCRPT	JEFFREY LASH        	                    	RS 	07/19/2019		06/30/2021
8382	7102293	SPURR SUBARU LLC    	                    	6331 BRCKPRT SPNCR R	DANIEL J SPURR      	                    	RS 	07/25/2006	05/22/2018	06/30/2020
8383	7101972	WESTWINDS MECHANICS 	LLC                 	50 OWENS RD         	MARY JANE DREHER    	                    	RS 	06/06/2006	04/24/2020	05/31/2022
8384	7117822	WILD 2 MILD LLC     	                    	1010 TRANSIT WAY    	DALE RYERSE         	                    	RS 	05/28/2014		04/30/2016
8385	7072964	CHILI AUTOMOTIVE    	REPAIR & SALES INC  	3501 UNION ST       	MARK WALSH          	                    	RS 	12/08/1995	11/27/2019	11/30/2021
8386	7090653	ADVANTAGE AUTO BODY 	INC                 	6445 BUFFALO RD     	DAN SEKLAR          	                    	RSB	08/10/2001	06/10/2019	07/31/2021
8387	7006983	AUTOMOTIVE ENDEAVORS	                    	51 KING RD          	ANTHONY F COMUNALE  	                    	RS 	09/14/1982	07/30/2020	08/31/2022
8388	7093399	BARBETOS SERVICE    	                    	525 ATTRIDGE ROAD   	THOMAS L BARBETO    	                    	RS 	10/10/2002	08/17/2018	09/30/2020
8389	7115057	BERGEN SALES INC    	                    	7244 BUFFALO ROAD   	BRETT H WILCOX      	                    	RS 	11/09/2012	09/24/2020	10/31/2022
8390	7021699	CHURCHVILLE FIRE    	EQUIPMENT CORP      	340 SANFORD RD S    	STEPHEN R GULVIN    	                    	RS 	04/08/1993	07/18/2019	08/31/2021
8391	5280192	CHURCHVILLE TIRE &  	SUPPLY CO INC       	POBX 355 48 S MAIN S	LINDA J ROVISA      	                    	RS 	09/25/1980	10/13/2016	10/31/2018
8392	7054018	EHRMENTRAUT TV INC  	                    	7365 BUFFALO RD     	CORY L EHRMENTRAUT  	                    	RS 	02/06/1991	12/14/2018	01/31/2021
8393	7002298	GEORGES ARCO SERVICE	                    	4 BUFFALO ST        	GEORGE C FEDIGAN    	                    	RS 	11/09/1981	10/04/2019	10/31/2021
8394	7094106	JERRYS AUTO SALES & 	SERVICE INC         	511 ATTRIDGE RD     	GERALD JOSEPH       	JOANNIS             	RS 	01/29/2003	01/02/2019	12/31/2020
8395	5280020	JIM BARNARD         	CHEVROLET INC       	7101 BUFFALO RD     	ALLYN G BARNARD     	                    	RS 	10/08/1980	09/23/2020	10/31/2022
8396	5280717	JIMS SERVICE        	                    	6433 BUFFALO RD     	JAMES M FODGE INC   	                    	RS 	10/10/1980	10/15/2020	10/31/2022
8397	7120120	MEYERS RV           	SUPERSTORES         	1000 SANFORD RD N   	MD MEYERS PROPERTIES	LLC                 	RS 	10/19/2015	07/30/2019	09/30/2021
8398	7120501	MY MECHANIC         	                    	3785 CHILI AVENUE   	ERIK OLSEN          	                    	RS 	01/21/2016		12/31/2017
8399	7097606	OUTDOOR STORE BY    	CAMPING WORLD THE   	1000 SANFORD RD NRTH	MEYERS RV CENTERS   	LLC                 	RS 	07/01/2004	06/17/2014	06/30/2016
8400	7090741	PERNAS AUTOMOTIVE & 	TIRES               	3785 CHILI AVE      	JOHN A PERNA        	                    	RS 	08/30/2001	07/30/2015	07/31/2017
8401	7040980	SANFORD TRUCK       	SERVICE             	51 N SANFORD RD     	CARLTON & STUBING   	INC                 	RS 	10/13/1987	09/09/2015	09/30/2017
8402	7122986	VERNS AUTO REPAIR   	INC                 	3785 CHILI AVE      	LAVERN J PALMER     	                    	RS 	10/06/2017	08/06/2019	09/30/2021
8403	7112705	WILKINS RECREATIONAL	VEHICLES INC        	111 S MAIN ST STE B 	BRIAN WILKINS       	                    	RS 	08/26/2011	05/30/2019	07/31/2021
8404	7123053	MAVIS DISCOUNT TIRE 	                    	781 FAIRPORT ROAD   	MAVIS TIRE SUPPLY   	LLC                 	RS 	10/20/2017	09/30/2019	09/30/2021
8405	7120105	CUSTOM TRUCK        	CREATIONS INC       	130 DESPATCH DRIVE  	LAWRENCE J COOPER   	                    	RS 	10/26/2015		09/30/2017
8406	7108592	EAST ROCHESTER      	AUTOMOTIVE          	501 MAIN STREET     	CLIFFORD W CORNELIUS	                    	RS 	07/02/2009	06/10/2013	06/30/2015
8407	7114932	GLASS ELEGANCE LLC  	                    	159 1/2 W COMMRCL ST	LINDA A SNYDER      	                    	RS 	10/18/2012	08/11/2020	09/30/2022
8408	7112047	GREASE LIGHTNING    	                    	781 FAIRPORT ROAD   	DAVID B THOMPSON    	                    	RS 	05/13/2011	04/10/2013	04/30/2015
8409	5280754	HOSELTON NISSAN INC 	                    	66 MARSH ROAD       	DREW F HOSELTON     	                    	RS 	10/09/1980	08/27/2020	10/31/2022
8410	5280188	HOSELTON TOYOTA     	                    	50 MARSH ROAD       	HOSELTON IMPORTS INC	                    	RS 	10/17/1980	08/27/2020	10/31/2022
8411	5280433	PATS RADIATOR SHOP  	INC                 	103 BLUFF DR        	PAT PETTI           	                    	RS 	09/25/1980	08/28/2020	10/31/2022
8412	7108637	PIERCE AUTOMOTIVE   	                    	221 W COMMERCIAL ST 	BRIAN P PIERCE      	                    	RS 	07/10/2009	06/28/2019	06/30/2021
8413	7065914	RITER RESTORATION   	INC                 	30 NORTH LINCOLN RD 	PETER W SEAR        	                    	RS 	03/11/1994	02/07/2020	02/28/2022
8414	7123637	SCHOEN AUTO         	                    	319 E CHESTNUT ST   	B & H AUTO HOLDINGS 	LLC                 	RS 	02/22/2018	11/18/2019	01/31/2022
8415	7103667	SCHOEN PLACE AUTO   	                    	319 EAST CHESTNUT ST	JADAS GROUP LLC THE 	                    	RS 	03/16/2007	02/09/2017	02/28/2019
8416	7052278	UNIVERSAL IMPORTS OF	ROCHESTER INC       	216-218 W MAPLE ST  	GUENTER FUERBACHER  	                    	RSB	07/27/1990	06/10/2020	06/30/2022
8417	7090854	VAN BORTEL FORD INC 	                    	71 MARSH ROAD       	MARY C VAN BORTEL   	                    	RS 	10/02/2001	08/08/2019	09/30/2021
8418	7099820	VISION KIA          	                    	201 EAST LINDEN AVE 	PJD LLC             	                    	RS 	06/23/2005	04/26/2019	05/31/2021
8419	7114436	VOLKSWAGEN OF EAST  	ROCHESTER           	333 N WASHINGTON ST 	IDE VOLKSWAGEN INC  	                    	RS 	07/25/2012	05/06/2020	06/30/2022
8420	7120710	A1 AUTO REPAIR      	                    	685 GOODMAN ST N    	SAHBAZ SABANOVIC    	                    	RS 	03/01/2016	03/24/2020	02/28/2022
8421	7101004	AAMCO TRANSMISSIONS 	                    	398 W COMMERCIAL ST 	RENOVIC INC         	                    	RS 	01/11/2006	01/05/2018	12/31/2019
8422	7049250	BOB HASTINGS        	COLLISION INC       	110 1/2 DESPATCH RD 	DAVID P STOETZEL    	                    	RSB	11/06/1989	08/21/2019	10/31/2021
8423	7105386	CAMELOT AUTOMOBILE  	SERVICES INC        	100 LINCOLN PARKWAY 	DOUGLAS A MCAVOY    	                    	RS 	01/16/2008	12/17/2019	12/31/2021
8424	5280077	HOSELTON CHEVROLET  	INC                 	909 FAIRPORT RD     	DREW F HOSELTON     	                    	RS 	09/30/1980	08/27/2020	10/31/2022
8425	7023389	NORTHSIDE FOREIGN   	AUTO REPAIR INC     	224 W COMMERCIAL ST 	ANTONIO BARBIERI    	                    	RS 	10/31/1983	10/01/2019	09/30/2021
8426	5280659	NORTHSIDE SALVAGE   	YARD INC            	954 LINDEN AVE      	JOHN P SEBASTIAN    	                    	RS 	01/12/1981	08/14/2020	10/31/2022
8427	7048124	PANORAMA COLLISION  	INC                 	108 N LINCOLN RD    	CHARLES M STEEHLER  	                    	RSB	06/12/1989	04/26/2019	05/31/2021
8428	7078333	PERFECTION COLLISION	                    	305 ROOSEVELT RD    	JACK GMELIN         	                    	RSB	04/19/2004	03/17/2020	03/31/2022
8429	7036565	ROOSEVELT SERVICE   	                    	305 ROOSEVELT RD    	DANIEL N SLOCUM     	                    	RS 	10/15/1986	08/07/2020	09/30/2022
8430	7050968	SCOTTS COLLISION &  	AUTO BODY REPAIR SVC	783 FAIRPORT RD     	SCOTT A MINCER      	                    	RSB	11/06/1998	09/18/2020	10/31/2022
8431	7093573	STANS AUTO SERVICE  	INC                 	307 S WASHINGTON ST 	WILLIAM SAYLES      	                    	RS 	11/04/2002	10/06/2020	10/31/2022
8432	7034029	VAN THOF AUTO&      	RADIATOR INC        	929 W LINDEN AVENUE 	JAMES C VANTHOF     	                    	RS 	04/08/1986	02/27/2020	03/31/2022
8433	7054056	BARIS AUTO REPAIR   	                    	135 N MAIN ST       	CAN BARIS           	                    	RS 	02/05/1991	01/24/2019	01/31/2021
8434	7097802	BMC AUTO REPAIR &   	SERVICE INC         	607 W WHITNEY RD    	MARK COHEN          	                    	RS 	07/27/2004	04/14/2020	06/30/2022
8435	7081226	COUNTRY RODE        	MOTOWERKS           	286 MACEDON CTR RD  	ARTHUR S ELTING INC 	                    	RS 	04/22/1998	03/25/2016	03/31/2018
8436	7078889	DEWEYS GARAGE INC   	                    	68 OCONNOR RD       	KENT E VELEY        	                    	RS 	07/25/1997	06/25/2019	06/30/2021
8437	7080605	DIAL A TIRE         	                    	111 S MAIN ST       	WADES AUTOMOTIVE INC	                    	RS 	03/12/1998	01/21/2020	02/28/2022
8438	7119768	FAIRPORT AUTO       	SERVICE LLC         	739B WHITNEY RD     	JOSEPH LAMANNA II   	                    	RS 	07/22/2015	05/31/2019	06/30/2021
8439	7113276	FAIRPORT AUTO       	SERVICE INC         	739 WHITNEY RD BLD B	GEORGE J PIERCE     	                    	RS 	11/30/2011	08/22/2013	10/31/2015
8440	7067450	FIRESTONE COMPLETE  	AUTO CARE           	7374 PITTSFD PLMYR R	BFS RETAIL&         	COMMERCIAL OPRTN LLC	RS 	07/06/1994	06/09/2020	06/30/2022
8441	7042129	FRED FOTI COLLISION 	                    	671 WHITNEY RD      	FREDERICK FOTI      	                    	RSB	01/28/1988	11/19/2019	12/31/2021
8442	7126573	GEARHEAD AUTOMOTIVE 	LLC                 	286 MACDN CTR RD C  	TRAVIS JACOBS       	                    	RS 	01/14/2020		12/31/2021
8443	7126097	GERBER COLLISION &  	GLASS               	1177 FAIRPORT ROAD  	CARUBBA COLLISION   	CORP                	RSB	09/06/2019		08/31/2021
8444	5280033	HAWK FRAME &        	AXLE INC            	77 87 OCONNOR RD    	CRAIG W RELYEA      	                    	RSB	09/24/1980	10/29/2020	10/31/2022
8445	7117010	HOLZWARTH AUTOMOTIVE	SERVICE             	20 JEFFERSON AVEENUE	PERINTON AUTOMOTIVE 	CENTER INC          	RS 	12/09/2013	09/25/2015	11/30/2017
8446	7066291	JOHN CLIFFORD SALES 	                    	657 W WHITNEY RD    	JOHN P CLIFFORD 3RD 	                    	RS 	05/24/2017	03/16/2020	03/31/2022
8447	7097759	MECHETTI AUTOMOTIVE&	TIRE                	15 1/2 NORTH MAIN ST	JAMISON L BARKER    	                    	RS 	07/22/2004	06/13/2016	06/30/2018
8448	7088578	MONRO AUTO SERVICE  	AND TIRE CENTERS    	7275 PTTSFRD PLMYRA 	MONRO INC           	                    	RS 	10/17/2000	09/30/2020	09/30/2022
