	ID	NAME	ALT_NAME	ADDRESS	ZIP	TELEPHONE	STATUS	POPULATION	SOURCE	SOURCEDATE	WEBSITE	BEDS	TRAUMA	HELIPAD
19	5870563	DAUTERIVE HOSPITAL	NOT AVAILABLE	600 N LEWIS AVE.	70563	(337) 365-7311	OPEN	103	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://www.dauterivehospital.com	103	NOT AVAILABLE	Y
20	13177954	CROCKETT MEDICAL CENTER	EAST TEXAS MEDICAL CENTER - CROCKETT	1100 EAST LOOP 304	77954	(936( 546-3891	OPEN	25	https://hhs.texas.gov/doing-business-hhs/provider-portals/health-care-facilities-regulation	2019/09/03 00:00:00	http://crockettmedicalcenter.com/	25	NOT AVAILABLE	Y
21	4671360	CENTRAL LOUISIANA STATE HOSPITAL	NOT AVAILABLE	242 W SHAMROCK AVE	71360	(318) 484-6200	OPEN	128	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm	128	NOT AVAILABLE	N
22	15671222	REEVES MEMORIAL MEDICAL CENTER	NOT AVAILABLE	409 1ST ST	71222	(318) 285-9066	OPEN	11	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://reevesmemorial.com/	11	NOT AVAILABLE	Y
23	16971241	SERENITY SPRINGS SPECIALTY HOSPITAL	NOT AVAILABLE	309 N MAIN ST	71241	(318) 202-3860	OPEN	18	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://www.serenityhospital.com	18	NOT AVAILABLE	N
24	15371373	RIVERBRIDGE SPECIALTY HOSPITAL	NOT AVAILABLE	209 FRONT ST.	71373	(800) 269-8034	OPEN	40	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://www.promise-misslou.com	40	NOT AVAILABLE	N
25	5371418	CITIZENS MEDICAL CENTER	NOT AVAILABLE	7939 HIGHWAY 165	71418	(318) 649-6106	OPEN	40	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	NOT AVAILABLE	40	NOT AVAILABLE	N
26	22830662	BROWN MEMORIAL CONVALESCENT CENTER	NOT AVAILABLE	545 COOK STREET	30662	(706) 245-1900	CLOSED	144	http://167.193.144.247/	2012/11/24 00:00:00	http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx	144	NOT AVAILABLE	N
27	70990806	COLLEGE MEDICAL CENTER	PACIFIC HOSPITAL OF LONG BEACH	2776 PACIFIC AVENUE	90806	NOT AVAILABLE	OPEN	121	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.collegemedicalcenter.com	121	NOT AVAILABLE	N
28	71794577	KAISER FOUNDATION HOSPITAL - SAN LEANDRO	NOT AVAILABLE	2500 MERCED STREET	94577	NOT AVAILABLE	OPEN	216	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	216	NOT AVAILABLE	N
29	72590723	KINDRED HOSPITAL PARAMOUNT	NOT AVAILABLE	16453 SOUTH COLORADO AVENUE	90723	NOT AVAILABLE	OPEN	177	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.promiseeastla.com/	177	NOT AVAILABLE	N
30	73790650	DEPARTMENT OF STATE HOSPITAL-METROPOLITAN	NOT AVAILABLE	11401 BLOOMFIELD AVENUE	90650	(562) 863-7011	OPEN	1265	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.dsh.ca.gov/metropolitan/default.asp	1265	NOT AVAILABLE	N
31	196162274	PINCKNEYVILLE COMMUNITY HOSPITAL	NOT AVAILABLE	5383 STATE ROUTE 154	62274	(618) 357-2187	OPEN	-999	https://data.illinois.gov/dataset/410idph_hospital_directory	2019/09/19 00:00:00	http://www.pvillehosp.org/	17	NOT AVAILABLE	Y
32	85531419	ST JOSEPH'S HOSPITAL - SAVANNAH	NOT AVAILABLE	11705 MERCY BOULEVARD	31419	NOT AVAILABLE	OPEN	-999	http://www.gamap2care.info/	2019/08/09 00:00:00	NOT AVAILABLE	294	NOT AVAILABLE	Y
33	86630165	KINDRED HOSPITAL ROME	NOT AVAILABLE	320 TURNER MCCALL BOULEVARD	30165	NOT AVAILABLE	OPEN	45	http://www.gamap2care.info/	2019/08/09 00:00:00	NOT AVAILABLE	45	NOT AVAILABLE	N
34	87130286	UPSON REGIONAL MEDICAL CENTER	NOT AVAILABLE	801 W GORDON STREET	30286	NOT AVAILABLE	OPEN	115	http://www.gamap2care.info/	2019/08/09 00:00:00	NOT AVAILABLE	115	NOT AVAILABLE	N
35	87531719	PHOEBE SUMTER MEDICAL CENTER	NOT AVAILABLE	126 HIGHWAY 280 W	31719	(229) 924-6011	OPEN	76	http://www.gamap2care.info/	2019/08/09 00:00:00	http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479	76	NOT AVAILABLE	Y
36	87931830	ROOSEVELT WARM SPRINGS LTAC HOSPITAL	NOT AVAILABLE	6135 ROOSEVELT HIGHWAY	31830	(404) 655-5011	OPEN	32	http://www.gamap2care.info/	2019/08/09 00:00:00	NOT AVAILABLE	32	NOT AVAILABLE	N
37	90030265	SOUTHEASTERN REGIONAL MEDICAL CENTER	NOT AVAILABLE	600 CELEBRATE LIFE PKWY	30265	NOT AVAILABLE	OPEN	25	http://www.gamap2care.info/	2019/08/09 00:00:00	http://www.cancercenter.com/southeastern/	50	NOT AVAILABLE	N
38	196500984	DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA	NOT AVAILABLE	CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO	984	(787) 621-3322	OPEN	-999	http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx	2019/08/09 00:00:00	https://www.tuhospitalfamiliar.com/	988	NOT AVAILABLE	N
39	2054311	BROWN CTY COMMUNITY TREATMENT CENTER	NOT AVAILABLE	3150 GERSHWIN DRIVE	54311	(920) 391-4700	OPEN	16	https://www.dhs.wisconsin.gov/guide/hospital.htm	2019/08/13 00:00:00	http://www.co.brown.wi.us/	16	NOT AVAILABLE	N
40	151253226	WHEATON FRANCISCAN WI HEART SPINE AND ORTHO	WISCONSIN HEART HOSPITAL	10000 WEST BLUEMOUND ROAD	53226	(414) 778-7800	OPEN	40	https://www.dhs.wisconsin.gov/guide/hospital.htm	2019/08/13 00:00:00	NOT AVAILABLE	40	NOT AVAILABLE	N
41	196600956	HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES	NOT AVAILABLE	AVE LAUREL 100, URB. SANTA JUANITA	956	(787) 786-7373	OPEN	-999	http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx	2019/08/09 00:00:00	NOT AVAILABLE	-999	NOT AVAILABLE	N
42	159171301	COMPASS BEHAVIORAL CENTER OF ALEXANDRIA	NOT AVAILABLE	6410 MASONIC DRIVE	71301	(318) 473-0035	OPEN	-999	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	NOT AVAILABLE	18	NOT AVAILABLE	N
43	163570394	OCSHNER ST. ANNE GENERAL HOSPITAL	NOT AVAILABLE	4608 HIGHWAY 1	70394	(985) 537-8377	OPEN	38	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	https://www.ochsner.org/locations/ochsner-st-anne/	38	NOT AVAILABLE	Y
44	164970748	FELICIANA FORENSIC FACILITY	NOT AVAILABLE	4502 HWY 951	70748	(225) 634-0216	OPEN	-999	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://new.dhh.louisiana.gov/index.cfm/directory/detail/219	-999	NOT AVAILABLE	N
45	160970056	UNITED MEDICAL HEALTHWEST-NEW ORLEANS	NOT AVAILABLE	3201 WALL BOULEVARD	70056	(504) 433-5551	OPEN	-999	http://new.dhh.louisiana.gov/index.cfm/directory/category/169	2019/08/16 00:00:00	http://umrhospital.com/locations/new-orleans/	14	NOT AVAILABLE	N
46	152354971	RIPON MEDICAL CENTER	NOT AVAILABLE	845 PARKSIDE ST	54971	(920) 748-3101	OPEN	18	https://www.dhs.wisconsin.gov/guide/hospital.htm	2019/08/13 00:00:00	http://www.agnesian.com/locations/hospitals/ripon-medical-center	18	LEVEL IV	Y
47	13402908	VA MEDICAL CENTER - PROVIDENCE	NOT AVAILABLE	830 CHALKSTONE AVE	2908	NOT AVAILABLE	OPEN	-999	https://www.va.gov/directory/guide/allstate.asp	2019/09/26 00:00:00	http://www.providence.va.gov/	-999	NOT AVAILABLE	N
48	15954660	TOMAH VA MEDICAL CENTER	NOT AVAILABLE	500 E VETERANS ST	54660	(608) 372-3971	OPEN	-999	https://www.va.gov/directory/guide/allstate.asp	2019/09/26 00:00:00	http://www.tomah.va.gov/	-999	NOT AVAILABLE	Y
49	5854452	ASCENSION GOOD SAMARITAN HLTH CTR	NOT AVAILABLE	601 S CENTER AVE	54452	(715) 536-5511	OPEN	25	https://www.dhs.wisconsin.gov/guide/hospital.htm	2019/08/13 00:00:00	http://www.ministryhealth.org	25	LEVEL IV	Y
50	58796001	RESTPADD PSYCHIATRIC HEALTH FACILITY	NOT AVAILABLE	2750 EUREKA WAY	96001	(530) 262-6700	OPEN	16	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.restpadd.com/	16	NOT AVAILABLE	N
51	59093436	THE CHAMPION CENTER	NOT AVAILABLE	303 SOUTH C STREET	93436	(844) 394-3767	OPEN	34	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	https://championrecovery.com/	34	NOT AVAILABLE	N
52	23831825	STEWART WEBSTER HOSPITAL	NOT AVAILABLE	580 ALSTON STREET	31825	(229) 887-3366	CLOSED	25	http://www.gamap2care.info/locator.html#	2016/03/08 00:00:00	http://www.stewartcountyga.gov/stewartwebsterhospital.htm	25	NOT AVAILABLE	N
53	21891761	KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS	NOT AVAILABLE	2295 S. VINEYARD AVENUE	91761	NOT AVAILABLE	OPEN	176	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	176	NOT AVAILABLE	N
54	25692354	LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL	NOT AVAILABLE	25333 BARTON ROAD	92354	NOT AVAILABLE	OPEN	134	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.llumc.edu	134	NOT AVAILABLE	N
55	44792404	ST. BERNARDINE MEDICAL CENTER	NOT AVAILABLE	2101 NORTH WATERMAN AVENUE	92404	NOT AVAILABLE	OPEN	342	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.stbernardinemedicalcenter.com	342	NOT AVAILABLE	N
56	20092120	KAISER FND HOSP - SAN DIEGO	NOT AVAILABLE	4647 ZION AVENUE	92120	NOT AVAILABLE	OPEN	414	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	414	NOT AVAILABLE	N
57	40992037	SCRIPPS GREEN HOSPITAL	NOT AVAILABLE	10666 NORTH TORREY PINES ROAD	92037	NOT AVAILABLE	OPEN	173	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.scrippshealth.org	173	NOT AVAILABLE	N
58	41092024	SCRIPPS MEMORIAL HOSPITAL - ENCINITAS	NOT AVAILABLE	354 SANTA FE DRIVE	92024	NOT AVAILABLE	OPEN	194	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.scripps.org	194	NOT AVAILABLE	Y
59	42292123	SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS	NOT AVAILABLE	3003 HEALTH CENTER DRIVE	92123	NOT AVAILABLE	OPEN	206	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.sharp.com	206	NOT AVAILABLE	Y
60	51092103	UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER	UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER	200 WEST ARBOR DRIVE	92103	NOT AVAILABLE	OPEN	390	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	https://health.ucsd.edu/locations/pages/hillcrest.aspx	390	LEVEL I	Y
61	4894118	CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST	NOT AVAILABLE	3700 CALIFORNIA STREET	94118	NOT AVAILABLE	OPEN	299	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.cpmc.org	299	NOT AVAILABLE	N
62	5094115	CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS	NOT AVAILABLE	2333 BUCHANAN STREET	94115	NOT AVAILABLE	OPEN	309	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.cpmc.org	309	NOT AVAILABLE	N
63	46594117	ST. MARY'S MEDICAL CENTER, SAN FRANCISCO	NOT AVAILABLE	450 STANYAN STREET	94117	NOT AVAILABLE	OPEN	403	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.stmarysmedicalcenter.org	403	NOT AVAILABLE	N
64	20595403	KAISER FND HOSP - SANTA ROSA	NOT AVAILABLE	401 BICENTENNIAL WAY	95403	NOT AVAILABLE	OPEN	173	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	173	NOT AVAILABLE	N
65	19594590	KAISER FND HOSP - REHABILITATION CENTER VALLEJO	NOT AVAILABLE	975 SERENO DRIVE	94590	NOT AVAILABLE	OPEN	248	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	248	NOT AVAILABLE	N
66	53195695	WOODLAND MEMORIAL HOSPITAL	NOT AVAILABLE	1325 COTTONWOOD STREET	95695	NOT AVAILABLE	OPEN	108	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.woodlandhealthcare.org	108	NOT AVAILABLE	N
67	1294609	ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT	NOT AVAILABLE	3100 SUMMIT STREET	94609	NOT AVAILABLE	OPEN	75	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.altabatessummit.com	75	NOT AVAILABLE	N
68	39794578	SAN LEANDRO HOSPITAL	NOT AVAILABLE	13855 EAST 14TH STREET	94578	NOT AVAILABLE	OPEN	93	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://edenmedcenter.org	93	NOT AVAILABLE	N
69	46694545	ST. ROSE HOSPITAL	NOT AVAILABLE	27200 CALAROGA AVENUE	94545	NOT AVAILABLE	OPEN	217	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.srhca.org	217	NOT AVAILABLE	N
70	45995204	ST. JOSEPH'S BEHAVIORAL HEALTH CENTER	NOT AVAILABLE	2510 NORTH CALIFORNIA STREET	95204	NOT AVAILABLE	OPEN	35	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.stjosephscanhelp.org	35	NOT AVAILABLE	N
71	46095204	ST. JOSEPH'S MEDICAL CENTER OF STOCKTON	NOT AVAILABLE	1800 NORTH CALIFORNIA STREET	95204	NOT AVAILABLE	OPEN	364	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.stjosephscares.org	364	NOT AVAILABLE	Y
72	13291741	FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL	NOT AVAILABLE	250 SOUTH GRAND AVENUE	91741	NOT AVAILABLE	OPEN	105	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx	105	NOT AVAILABLE	Y
73	14791204	GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER	NOT AVAILABLE	1420 SOUTH CENTRAL AVENUE	91204	NOT AVAILABLE	OPEN	334	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.glendalememorial.com	334	NOT AVAILABLE	N
74	19090027	KAISER FOUNDATION LOS ANGELES MEDICAL CENTER	NOT AVAILABLE	4867 SUNSET BOULEVARD	90027	NOT AVAILABLE	OPEN	460	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	460	NOT AVAILABLE	N
75	19391402	KAISER PERMANENTE PANORAMA CITY	NOT AVAILABLE	13652 CANTARA STREET	91402	NOT AVAILABLE	OPEN	218	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	218	NOT AVAILABLE	N
76	36691356	PROVIDENCE TARZANA MEDICAL CENTER	NOT AVAILABLE	18321 CLARK STREET	91356	NOT AVAILABLE	OPEN	249	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://california.providence.org/	249	NOT AVAILABLE	N
77	42990020	SHRINERS HOSPITAL FOR CHILDREN - L.A.	NOT AVAILABLE	3160 GENEVA STREET	90020	NOT AVAILABLE	OPEN	60	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx	60	NOT AVAILABLE	N
78	50190716	GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER	TRI-CITY REGIONAL MEDICAL CENTER	21530 SOUTH PIONEER BOULEVARD	90716	NOT AVAILABLE	OPEN	107	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.tcrmc.org/	107	NOT AVAILABLE	N
79	45295422	ADVENTIST HEALTH CLEARLAKE	NOT AVAILABLE	15630 18TH AVE - HWY 53	95422	NOT AVAILABLE	OPEN	32	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.adventisthealth.org	32	NOT AVAILABLE	Y
80	6193638	VALLEY CHILDREN'S HOSPITAL	CHILDREN'S HOSPITAL CENTRAL CALIFORNIA	9300 VALLEY CHILDREN'S PLACE	93638	NOT AVAILABLE	OPEN	356	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.valleychildrens.org/pages/default.aspx	356	NOT AVAILABLE	Y
81	11792270	EISENHOWER MEDICAL CENTER	NOT AVAILABLE	39-000 BOB HOPE DRIVE	92270	NOT AVAILABLE	OPEN	489	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.emc.org	489	NOT AVAILABLE	Y
82	15295124	GOOD SAMARITAN HOSPITAL-SAN JOSE	NOT AVAILABLE	2425 SAMARITAN DRIVE	95124	NOT AVAILABLE	OPEN	404	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.goodsamsanjose.com	404	NOT AVAILABLE	Y
83	20495051	KAISER FND HOSP - SANTA CLARA	NOT AVAILABLE	700 LAWRENCE EXPRESSWAY	95051	NOT AVAILABLE	OPEN	327	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	327	NOT AVAILABLE	Y
84	27094304	LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD	NOT AVAILABLE	725 WELCH ROAD	94304	NOT AVAILABLE	OPEN	302	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.lpch.org	302	NOT AVAILABLE	Y
85	19494063	KAISER FND HOSP - REDWOOD CITY	NOT AVAILABLE	1100 VETERANS BOULEVARD	94063	NOT AVAILABLE	OPEN	149	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	149	NOT AVAILABLE	N
86	18094520	JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS	NOT AVAILABLE	2540 EAST STREET	94520	NOT AVAILABLE	OPEN	245	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.johnmuirhealth.com	245	NOT AVAILABLE	N
87	47794509	SUTTER DELTA MEDICAL CENTER	NOT AVAILABLE	3901 LONE TREE WAY	94509	NOT AVAILABLE	OPEN	145	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.sutterdelta.org	145	NOT AVAILABLE	N
88	19995825	KAISER FND HOSP - SACRAMENTO	NOT AVAILABLE	2025 MORSE AVENUE	95825	NOT AVAILABLE	OPEN	287	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.kaiserpermanente.org	287	NOT AVAILABLE	N
89	43195945	SIERRA NEVADA MEMORIAL HOSPITAL	NOT AVAILABLE	155 GLASSON WAY	95945	NOT AVAILABLE	OPEN	104	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.snmh.org	104	NOT AVAILABLE	Y
90	24690623	LA PALMA INTERCOMMUNITY HOSPITAL	NOT AVAILABLE	7901 WALKER STREET	90623	NOT AVAILABLE	OPEN	141	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.lapalmaintercommunityhospital.com	141	NOT AVAILABLE	Y
91	38492673	SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE	NOT AVAILABLE	654 CAMINO DE LOS MARES	92673	NOT AVAILABLE	CLOSED	73	http://www.oshpd.ca.gov/hid/facility-listing.html	2016/02/04 00:00:00	http://www.memorialcare.org	73	NOT AVAILABLE	N
92	13795991	FREMONT MEDICAL CENTER	NOT AVAILABLE	970 PLUMAS STREET	95991	NOT AVAILABLE	OPEN	46	http://www.oshpd.ca.gov/hid/facility-listing.html	2019/08/02 00:00:00	http://www.frhg.org/	46	NOT AVAILABLE	N
